 课程名 授课教师 通过制/百分制 点名/签到 最终得分 我的评价 平时任务 期末考核 开课单位
 有机化学 廖园 百分制/绩点制 雨课堂每节课签到 80-84/3.0-3.4 老师挺好的，讲的比较清楚 每章有作业，课后题都有答案 闭卷考试，和上一年题目相关较大，也会考书后原题_建议好好做作业 环境科学与工程学院
   百分制/绩点制 签到 75以下/2.5以下 课程难，但是老师讲解细致，需要每节课都认真听 会留作业，但是不多，稍有难度 闭卷考试 环境科学与工程学院
   百分制/绩点制 点名 75-79/2.5-2.9 课程有一定的难度 任务内容还好 期末考试，有一定难度 环境科学与工程学院
 画法几何与工程制图(1) 王秀艳 百分制/绩点制 每节课查人 75-79/2.5-2.9 事多，分少；课代表分高 超难 难，而且图看不清 环境科学与工程学院
 工程流体力学 金陶胜,王冰 百分制/绩点制 经常点名 75以下/2.5以下 老师每节课都抽好多人讲东西或者回答问题，还会每节课最后找同学上去讲作业 作业不是很多，但是有些题不太好做 题型有简答单选大题，个人感觉挺难的 环境科学与工程学院
 工程素养与工程方法 鲁金凤,董恒 百分制/绩点制 智慧树手势签到 90-94/4.0 老师人很好，给分不错 出去参观了一次，没有平时作业 小组拍视频然后课上展示 环境科学与工程学院
 习近平生态文明思想 邵超峰,王鑫,宋少洁,钱恒力,楚_春礼,史国_良,候其东 百分制/绩点制 点名 85-89/3.5-3.9 每节课有不同的老师讲环境有关的内容，可以划水 每节课写一百字左右的心得，还有线上试题，比较轻松 线上考试，难度不大 环境科学与工程学院
 无机及分析化学 王海涛,于_凯 百分制/绩点制 签到 75-79/2.5-2.9 课程内容很多，有一定难度，不过平时两位老师人都比较好，并且期末会捞人 每上完一章会布置书上的章节习题，隔一周上交，习题有一定难度 期末用笔试，去年期中没有考试，但是受前些年疫情影响，以后有恢复期中考试的可能，考试难度较大（主要是考的多，无机和分析化学两部分在一套卷子，但各自都有选择填空大题，题量很大），需要花一周以上时间复习。 环境科学与工程学院
