 课程名 授课教师 通过制/百分制 点名/签到 最终得分 我的评价 平时任务 期末考核 开课单位
 信息安全数学基础 贾春福 百分制/绩点制 随机点名，偶尔全部点名 85-89/3.5-3.9 纯纯折磨人，上课要求学生自己看课本，并随机罚站，期考给分特别差，平时分给分差，事多 一周一次作业（一个章节一次），学期末有两次大作业，要求写论文与汇报，占用非常多时间 卷面考察，非常难 网络空间安全学院
 信息隐藏技术 李朝晖 百分制/绩点制 平时签到 + 雨课堂答题： 每节课都有雨课堂签到，比较恶心的就是前几节课他会有课堂上的实时答题，每道题不论填空还是选择，都只有 30s 时间，最好预判一下答案，如果有实在担心的同学可以私信我，我找一下去年的。实验课也要出勤，他有一次因为我们实验课走人，被后面其它听课老师看到了后急了，说之后可能实验课要随机按人头签到，虽然最后也没有签到，但防患于未然。 95+ 信安专业的苦命人们终于等来了最后一门带考试的专业课，却没想到等到了一个大的。。。平时 30％+ 期末 70％的总评，12 点 55 的上课时间，硬控人一下午的周二。。。懂的都懂，味大，无需多盐。信安专业本科最恶心的课，最好准备。 平时 30％，但是分的项目巨细，主要包含以下内容，但是具体比例未知
（这里仅以 2024 Fall 为例，可能未来会存在变化！）
**10 次左右个人作业。** 大概每 1-2 周一次，作业量很多，但每次就只是复现一个代码，都是 PPT 里面就有的旧 Matlab 代码，另外加上一些祖传的报告就 github 上的随便抄抄就可以。就是有一些代码因为 PPT 中 Matlab 版本过早需要对代码部分进行更新，但改的不多不用担心。有些图片无法完全复制效果可能是因为采用了调色板格式，做到了就懂了。
**3 次大作业，均为小组。** 每组 5 个人最多，第一次相对较难，第二次比较水，第三次论文复现。最好还会要求轮流准备 PPT 课上展示，老师会下面问一些很没必要的问题，，，别被他整崩溃了就行，平静对待，占分不会太大。他几乎不听，反倒问某论文哪年发表什么期刊这种没什么意义的问题。
学堂在线网课 + 作业 + 线上期末测试：将学堂在线用户名改为规定标准后观看网课（该网课也可以用于期末复习！）完成每章课后题和最后的一个线上期末考试（大概会在线下的真正的期末考试开始前 3-4 天打开，别忘了做！）
** 平时签到 + 雨课堂答题：** 每节课都有雨课堂签到，比较恶心的就是前几节课他会有课堂上的实时答题，每道题不论填空还是选择，都只有 30s 时间，最好预判一下答案，如果有实在担心的同学可以私信我，我找一下去年的。实验课也要出勤，他有一次因为我们实验课走人，被后面其它听课老师看到了后急了，说之后可能实验课要随机按人头签到，虽然最后也没有签到，但防患于未然。 期末考试（70％）
1. 填空题
很多都是比较细节的填空，不过也大部分都是 NKU-SAVE 中的原题，一定要刷。印象比较深的一个是问的是数字水印的作用，但是多了一个空，我印象中在哪里看到过正好多一个的，但是不记得了，一个空一分，问题也不大，记住以下即可：
版权保护
数字指纹
认证和完整性校验
内容标识和隐藏标识
使用控制
内容保护
2. 选择题
全部原题，一定要刷，做过原题可以直接秒杀，选项顺序不带变的。
3. 判断题
同样全部原题，可以直接秒杀。
4. 简答题
    5.8 DWT 域的信息隐藏，分别阐述两个参数和三个参数的系数比较的方法。还有就是什么时候作废（答案：系数大小位于中间）。
    8.1 隐写分析分类，根据采用的分析方法分类：感官分析（用人眼、耳对伪装对象进行分析，判断是否可疑）；统计分析（对比正常载体的和伪装对象的理论期望频率分布）；特征分析（寻找特定隐藏算法所产生的固有特征）。
5. 综合题
己知某图像轮廓的游程编码为 <a0，x1><a1，x2><a2，x3><a3，x4 > 等等，然后进行一些变化，写成最后的变化结果每一步的中间结果，NKU-SAVE 复习资料中的选择题原题改编！做原题还是那句话
   7.2 数字水印框架完整写出，包括嵌入和提取。要会画那个图，记住所有符号及其含义。数字水印提取算法两种结果。
CPP 对被保护的数字产品进行的预处理
WPP 对数字水印 w 进行的预处理
G 数字水印嵌入算法
CPP-1 CPP 的逆操作
整体来说复习建议是参照 NKU-SAVE 上提供的复习资料，一定要看那个 50 多页内容很多的，非常多的选择题 + 判断题 + 填空题 + 综合题。****
