 课程名 授课教师 通过制/百分制 点名/签到 最终得分 我的评价 平时任务 期末考核 开课单位
 大学语文 冯雨菁 百分制/绩点制 教务处有要求之后签过到 90-94/4.0 讲课很有趣，主要讲现当代文学   文学院
   百分制/绩点制 无 未出分 老师人美心善，会划重点 一篇作文 考试 文学院
  姚孟泽 百分制/绩点制 没点过，但是说点名不到会扣分 90-94/4.0 见解独到，敢说大部分人不敢说的，文学素养极高，上课很有意思 无任务，与其他大语一致 作文、线上答题、考试，考试4个大题，默写、考勤题、课外题、自己老师出的题 文学院
   百分制/绩点制 说的要签到，但是从来没有过 80-84/3.0-3.4 老师讲课挺有趣 无 考试 文学院
  陈琰娇 百分制/绩点制 没有签到要求 未出分 老师人特别好特别帅，课堂氛围幽默轻松，真的可以感受到老师对语文的热爱 期中一篇作文 考试，默写（30'），然后问一些和课程内容有关的论述题（每个老师授课内容是不同的），所以平常还是要去上课的 文学院
  金鑫 百分制/绩点制 不点名不签到 85-89/3.5-3.9 老师讲的很好，看文章的观点很深 有作文有线上测验，和其他老师一样 默写、阅读题、开放题，难度适中（有发挥空间） 文学院
   百分制/绩点制 没有点名（但大语的期末考试会有考勤题） 90-94/4.0 老师主要讲现代文，讲的时候能结合生活实际和他教文学院学生的经历，而不是局限于课文。风格是那种比较平静的，娓娓道来的那种，更像是给大家提供一些新的思考角度。 应该是统一的吧，包括写作文，线上答题什么的。 统一的期末考试，但：（1）考试里有一道考勤题，大概是让你从你的老师讲过的课文里挑几篇写出作者是谁，或者你对哪篇感受最深什么的。（2）还有一道题是每个老师从他/她讲过的课文里挑一篇，关于这篇课文出一道题。考试的时候选你的老师出的那道题做。金鑫老师会在最后一两次课（我那会是倒数第二次课）的时候高度概括一下他讲过的每篇课文和他讲到的主要观点。 文学院
   百分制/绩点制 不点名 95+ 老师风趣幽默，内容挺有意思 统一作业，作文和网上答题，网上答题都可以查到答案很简单 默写，签到题（老师讲的篇目内容），课文题（老师考前会说重点）还有一道开放题 文学院
  关静 百分制/绩点制 随机三次课点名，每次形式都不太一样 90-94/4.0 老师人超级美又有气质，没什么作业，上课讲的知识也很容易理解，喜欢   文学院
   百分制/绩点制 一共点名三次 未出分 老师真的很好，考试前会提示你她出题的重点   文学院
  李素军 百分制/绩点制 无 未出分 人美声甜，不说考啥 无 闭卷，默写30分，剩下看造化（ 文学院
   百分制/绩点制 不点名 90-94/4.0 人美心善给分好 轻松的很 考试 文学院
   百分制/绩点制 签到，扫码之类的，好像所有语文课都有 85-89/3.5-3.9 老师平时讲的用心听几节课哈，期末会问这种上课讲过什么的题 所有语文课要求相同 有背诵比较费时间（但是一定要背，其他的就看你文学素养了 文学院
   百分制/绩点制 不点名签到 95+ ok，没上过，作文打分低 无 卷子 文学院
  张昊苏 百分制/绩点制 无 85-89/3.5-3.9 老师讲课十分有趣！   文学院
   百分制/绩点制 从不 未出分 老师风格有趣，上课不想听也可以干自己事情 一次作文，两次线上答题 平时分+期末闭卷考试 文学院
   百分制/绩点制 不点名 80-84/3.0-3.4 老师讲的对学习的反思比较有用 无任务 感觉比较套路 文学院
  韩旭东 百分制/绩点制 从不，老师开学明确说过不考勤 90-94/4.0 讲课幽默风趣内容吸引人，考试还会划重点！！！ 没有 全年级统一的，作文和线上答题很简单，期末考试也不会难为人 文学院
   百分制/绩点制 无 85-89/3.5-3.9 无点名签到，但是期末考试有关于上课的题目，记得去几次。期末考其他都是统一的，韩老师自出的题目是鲁迅沈从文二选一，记得自己看 无 统一考试 文学院
   百分制/绩点制 不点名，关键课老师会提醒提前来，甚至鼓励你不一定要来听 未出分 老师人很好，上课很有意思，如果没有事听一听也很有趣 基本没事 统考 文学院
   百分制/绩点制 从不签到点名 80-84/3.0-3.4 讲课很有意思，但是水 没啥任务，和其他大语一样。完成作文，测试题。 考核为全校统考。内容比较容易。 文学院
  薛英杰 百分制/绩点制 老师明确说明自己完全不管点名或签到，全靠学生自觉 80-84/3.0-3.4 老师上课水平很棒，温柔和蔼 根据大学语文课程的统一要求，写一篇作文外加完成线上选择题测试即可 在期末考中会包含老师上课时讲到的内容（占40分，还是很重要的）以及背诵默写（占30分），所以平时还是需要认真听课 文学院
   百分制/绩点制 无 95+ 个人感觉是最好的大语老师，不考勤，最后有总结PPT 无 考试 文学院
  张静 百分制/绩点制 点名 95+ 老师讲得太好了！讲得语文课非常有趣，无压力，而且声音很好听 作业量也不大,一篇大作文 期末考试,有默写,论述,理解,还有考察题 文学院
   百分制/绩点制 有一两次签到 90-94/4.0 讲现代文60%在讲作者的故事以及一些相声八卦，对于文章的一些内容有自己的理解；讲古代文章或古诗则侧重于文化角度的解析和拓展。总之还是非常好且有意思的一位老师。 课程组统一的，上教学网站完成自主测试和作文，具体遵从老师安排 闭卷笔试，包括默写、考勤题、开放题、选做题（选自己老师出的题） 文学院
   百分制/绩点制 点名 75-79/2.5-2.9 老师不错，给分太低 有期中作业写作文 考试，要提前背 文学院
  罗维斯 百分制/绩点制 不点名不签到 85-89/3.5-3.9 老师讲课很幽默,赶潮流,在群里特别活跃,没留过作业 无 会提前给范围和他对应的题,人很好 文学院
