 课程名 授课教师 通过制/百分制 点名/签到 最终得分 我的评价 平时任务 期末考核 开课单位
 毛泽东思想和中国特色社会主义理论体系概论 王元,李洁,孙炳炎,孙海东 百分制/绩点制 点名，有大概三次 95+ 老师讲得很好，很有趣，但是不是按课本讲的。老师给分很好！！！ 平时会有两次作业，都是画思维导图，要求不高 试卷都是答题，认真背重点就行，基本都是课后题的内容 马克思主义基础理论教学部
  王元 百分制/绩点制 不定期点名，不提前说，看课堂上人比较少了会点 85-89/3.5-3.9 平时分给分中规中矩，授课蛮有意思的，但是和期末考试关系不大 pre/读书选做，一般一两天就能完成，而且只要做了就有相同的分，不用卷质量数量 全校统一考试，背就完了 马克思主义基础理论教学部
  代雅洁 百分制/绩点制 点名 85-89/3.5-3.9 老师比较随和,点名可以补点 一个展示,一个论文 闭卷考试 马克思主义基础理论教学部
  陆阳 百分制/绩点制 无 90-94/4.0 老师很好！上课讲的特别有意思！很推荐认真听！ 少 期末论文 马克思主义基础理论教学部
  孙海东 百分制/绩点制 签到 80-84/3.0-3.4 避大雷！助教自己掌握平时分的打分,并且给分非常差 无 考试 马克思主义基础理论教学部
  肖光文 百分制/绩点制 有时候点人回答问题 90-94/4.0 老师人挺好,事情有点多 小组展示+4000论文 闭卷考试 马克思主义基础理论教学部
  颜杰峰 百分制/绩点制 每节课位置签到，还有三次点名 85-89/3.5-3.9 老师非常抽象 很少 笔试 马克思主义基础理论教学部
 马克思主义基本原理 齐艳红 百分制/绩点制 签到表轮签 80-84/3.0-3.4 老师期末明确划重点，但还是要努力背书 小组讨论，没有期中考试 只考大题，难度尚可，一定要好好复习书后思考题 马克思主义基础理论教学部
  杨植迪 百分制/绩点制 考勤过几次 85-89/3.5-3.9 人美声甜 没额外作业 上课回答问题易得分 马克思主义基础理论教学部
   百分制/绩点制 天天点名，这个老师就爱点名 75-79/2.5-2.9 老师看着养眼，马克思主义理论功底一般般，上课纯背稿子 无任务 正常考试，给分一般 马克思主义基础理论教学部
  刘凤义 百分制/绩点制 点名 90-94/4.0 老师非常好 无 不难，常规内容 马克思主义基础理论教学部
  陈弘 百分制/绩点制 签到 未出分 老师讲课挺没意思的,但是没作业,只有一篇水水的小论文,老师人也很好 没有 正常期末考试,平时签到情况 马克思主义基础理论教学部
  赵春玲 百分制/绩点制 无 80-84/3.0-3.4 给分不好 无 闭卷考试 马克思主义基础理论教学部
   百分制/绩点制 偶尔有 85-89/3.5-3.9 老师人很好，杨植迪老师当时和赵春玲老师一起开这门课，杨植迪老师可能会给上课回答问题的人加分 无 闭卷考试 马克思主义基础理论教学部
  叶冬娜 百分制/绩点制 我们那学期只有一次签到 85-89/3.5-3.9 课上积极回答问题平时分不低，虽然但是我的分很低可能还是卷面的原因……   马克思主义基础理论教学部
  袁航 百分制/绩点制 yes 80-84/3.0-3.4 not_bad pre Class_book_exam 马克思主义基础理论教学部
   百分制/绩点制 没点过 90-94/4.0 老师人真的太有意思了，课也有意思 完全没有 就是统一考试 马克思主义基础理论教学部
  秦臻 百分制/绩点制 偶尔点名 90-94/4.0 还行 还行 统一考试 马克思主义基础理论教学部
  宁悦 百分制/绩点制 签到 85-89/3.5-3.9 老师上课讲的有很多有意思的内容 做学习通上的题 写满了就不会挂，但是想要得高分要花时间去背知识点 马克思主义基础理论教学部
   百分制/绩点制 最后一节课点名 90-94/4.0 闭眼吹 无 考试 马克思主义基础理论教学部
  王新生 百分制/绩点制 点名 85-89/3.5-3.9 老师很有干货！但是很喜欢pre! 很多pre！感觉没学啥课本知识。。。 闭卷考试 马克思主义基础理论教学部
  曲佳宝 百分制/绩点制 点名 90-94/4.0 好，幽默，有用 少 闭卷 马克思主义基础理论教学部
  曲佳宝,孟锐峰 百分制/绩点制 知到线上签到 90-94/4.0 无 常规任务,看线上课 考试 马克思主义基础理论教学部
   百分制/绩点制 用学习通签到，偶尔线下点名 80-84/3.0-3.4 讲课挺认真的 没有平时作业 闭卷考试 马克思主义基础理论教学部
 中国近现代史纲要 刘银萍 百分制/绩点制 隔一周会有一次位置签到,在宿舍也能签上,有些时候会点个别同学的名字 85-89/3.5-3.9 念ppt,比较无聊 期中有个小论文 期末闭卷考试,不划重点,但期末校园集市上可查 马克思主义基础理论教学部
   百分制/绩点制 不定期学习通位置签到 90-94/4.0 老师对签到蛮看重的，但是没到一两次平时分不会给很低 没啥任务 闭卷考试,不难,初中历史 马克思主义基础理论教学部
   百分制/绩点制 偶尔位置签到 80-84/3.0-3.4 比较客观，我卷面不太行但最后还能接受 期中交一篇论文 平时＋期末闭卷 马克思主义基础理论教学部
  任梦磊 百分制/绩点制 签到 85-89/3.5-3.9 老师讲得不错但给分较低,不建议选 3000字读书报告 闭卷考试 马克思主义基础理论教学部
   百分制/绩点制 会签到，忘记有没有点名了 75-79/2.5-2.9 老师课讲的还是很好的，声音非常好听但是就是给分有点低呀，我感觉我答的挺好的，结果就考70多分 平时任务是读一本书，然后写书评，没有别的了 就是学校的统一考试 马克思主义基础理论教学部
   百分制/绩点制 每节课都要签到 90-94/4.0 老师很好，上课挺有意思的 任务不多，只有一次书评 考试都是考的课后题 马克思主义基础理论教学部
   百分制/绩点制 有点名 80-84/3.0-3.4 老师讲的还好，但给分一般 有一个读书笔记，会给几本书让你挑然后写读后感之类的 闭卷，考试里习思想占比挺大一部分，基本都是靠初高中的历史基础 马克思主义基础理论教学部
