 课程名 授课教师 通过制/百分制 点名/签到 最终得分 我的评价 平时任务 期末考核 开课单位
 新文科智能计算基础 李兴娟 百分制/绩点制 有 80-84/3.0-3.4 避雷！作业一般，老师讲的很烂，学不到啥 雨课堂发布作业 期末占30%，选择和填空 公共计算机基础教学部
   百分制/绩点制 要签到 未出分 老师讲课很有意思 有平时作业，雨课堂作业，还有案例作业和大作业，作业比较多吧，但是平时分有70%,可以理解吧 上机理论考试，一部分是黄色习题书后面的练习，考的知识点很细 公共计算机基础教学部
  郭蕴 百分制/绩点制 签到 85-89/3.5-3.9 老师很可爱，萌萌的，课上有点无聊 有课后作业 统考 公共计算机基础教学部
   百分制/绩点制 有二维码签到，但是应该从雨课堂进入就行。 未出分 上课会偶尔从雨课堂抽人回答问题 看网课，几个实验，自选3个案例，大作业 机考，闭卷 公共计算机基础教学部
  闫晓玉,郭蕴 百分制/绩点制 签到，抽人回答问题 未出分 郭蕴老师讲得蛮好，很棒，大作业给的建议也很好。上机课的闫老师很乐意解答问题，给了我很多帮助哈哈。 中等。3次案例作业比较耗费时间。 大作业展示，就是机考100道选择，20道填空。需要好好准备 公共计算机基础教学部
  高裴裴 百分制/绩点制 签到 80-84/3.0-3.4 老师上课挺有趣的，跟着上课听期末考试肯定没问题，上课做自己的事老师也不管，挺好的，作业难度不大，大作业是展示，要费一些时间精力，课程收获要是认真听了肯定有，只是想过的话基本上上完课就忘了 基本上每周会有作业，但用上机课的时间就能完成 上机答题考试（有复习资料和题库），大概需要复习半天+考前过一遍，难度适中（python内容难度较大但分值不多） 公共计算机基础教学部
   百分制/绩点制 签到 85-89/3.5-3.9 给分烂,压分严重,学不到东西 抄课本代码 内容偏，难度大 公共计算机基础教学部
   百分制/绩点制 每堂课会在雨课堂上签到 未出分 老师讲课很风趣幽默,会和同学们开玩笑,但讲的是真听不懂 上课雨课堂上会弹随堂小测题目,但可以拍照搜题,课后会在雨课堂上布置作业,可以借助chatgpt完成 分成答辩和考试两部分,答辩是小组大作业,期末考试只有选择和填空,机考,学校统一安排,但是真的不会 公共计算机基础教学部
  闫晓玉 百分制/绩点制 签到 90-94/4.0 要求严 平时作业多 考试 公共计算机基础教学部
  李敏 百分制/绩点制 雨课堂扫码 未出分 老师讲的还可以 刷一堆雨课堂视频，作业每节课都要做几个案例，有点不认真做，平时分43/45， 小组大作业分工做没用太多时间，案例自选三个，有一个没做好扣了点平时分 公共计算机基础教学部
  康介恢 百分制/绩点制 只在大作业展示的时候签到过一次，有提醒来签到 90-94/4.0 事少分高，不用刷雨课堂视频！！！ 只需要做一些平时作业，一般上机课就能写好 120道题上机 公共计算机基础教学部
