 课程名 授课教师 通过制/百分制 点名/签到 最终得分 我的评价 平时任务 期末考核 开课单位
 早期希腊哲学 张家昱 百分制/绩点制 偶尔点 90-94/4.0 老师非常非常的好！讲课很细，也很有趣 几乎没有平时任务 闭卷考试 哲学院
 伦理学导论 李虎 百分制/绩点制 无考勤 90-94/4.0 内容比较艰深，老师人本身不错但是学术要求也比较严格，对于伦理学没有浓厚兴趣和一定学术能力的慎选 课堂上经常看视频聊天不会很忙，但是课后需要写一些读后感和练笔，也会有线上课参与讨论。 期末是讨论问题的自由化形式，同时会参考平时练笔的质量评分 哲学院
 西方哲学 贾江鸿 百分制/绩点制 点名，但点的次数不多 85-89/3.5-3.9 西方哲学发展脉络，哲学家主要思想 只有期末一篇书评，其余没有作业 考察上课内容，考察内容多，需要前期大量准备 哲学院
  张家昱,邓向玲 百分制/绩点制 经常随机点名 85-89/3.5-3.9 老师讲课比较深奥，容易睡着 有期中作业 笔试，考前划重点 哲学院
   百分制/绩点制 偶尔点名 80-84/3.0-3.4 很有收获 没有作业 闭卷考试，zjy的部分无重点，dxl会画，给分较为严格 哲学院
   百分制/绩点制 偶尔点名 75以下/2.5以下 两位老师都挺好，张家昱老师很年轻很幽默，讲课很好 无平时作业 考试结课，难度偏高（个人认为），给分很严……感觉得占用较多的复习时间 哲学院
 哲学概论 王亚娟 百分制/绩点制 不点名不签到 90-94/4.0 老师讲课有点难懂，思维很缝合 无，写过一篇很短的观后感 闭卷考，期末会划重点，七道大题 哲学院
   百分制/绩点制 不点名 85-89/3.5-3.9 试卷很简单，老师讲的也不错 一篇小论文 不难，认真学都能答出来 哲学院
 哲学导论 王伟 通过制 偶尔签到  内容不太让人感兴趣，上课会用学习通随机抽人回答问题，缺勤也问题不大。老师不太管，挺水的 没有平时任务 开卷考。两个大题。多写点应该没有问题。可以上网查 哲学院
 宗教学导论 张仕颖 百分制/绩点制 偶尔叫人回答问题 85-89/3.5-3.9 老师和蔼可亲，上课有的时候有点无聊 pre和读书报告 闭卷，比较难 哲学院
