课程名 授课教师 通过制/百分制 点名/签到 最终得分 我的评价 平时任务 期末考核 开课单位
大学生心理健康 吕沛繁,袁婧,娜菲沙・哈力克,王修彦,迪丽热巴・地力夏提,陈万胜 通过制 签到  内容较有趣，老师管得松 任务简单，期末好像是写几个心得体会，平常没任务 写心得体会，不难，写完发给老师 心理健康教育中心
 朱庆磊,吴亚坤,陈子晨,王晓娟,高世哲 通过制 签到  课程轻松，老师人很好 少 报告结课 心理健康教育中心
 李晨曦,曹爱华,孙霄薇,相羽,郑锡然,赵双桅,郝钰 通过制 要签到  有点意思 一学期加上期末作业有三份作业，比较轻松 考核就是那几份作业，很简单 心理健康教育中心
 陈子晨,王春雷,郑锡然 通过制 偶尔知到  认真听会很有意思，想水课也好水 几次作业要求不高，迅速的话一个小时能搞完所有几次作业加起来 交了作业就行好像是 心理健康教育中心
