 课程名 授课教师 通过制/百分制 点名/签到 最终得分 我的评价 平时任务 期末考核 开课单位
 微观经济学 李晓义 百分制/绩点制 不点名不签到 80-84/3.0-3.4 西南村李师傅讲课有点实力的。讲得很不错，老师也会微信解答同学不会的问题，上课跟着听是有收获的。 有5,6个作业，要按时提交，是一些习题，不过ddl都在期末，不会占用太多精力。 老师说不捞，但是给分比我预想中好一点 旅游与服务学院
   百分制/绩点制 不点名不签到 90-94/4.0 老师讲课很有意思，课上会举很多例子 有六次平时作业，听课了就会，比较简单 统一闭卷考试 旅游与服务学院
 信息检索 李颖 百分制/绩点制 扫码签到 90-94/4.0 老师讲得确实有点云里雾里了，不知道在讲什么。老师会提问但是0人回答。老师喜欢突然说英文听得我眉头紧锁。 会留一些作业，编就完了，有小组作业还有个人作业，挺麻烦的，上课的时候还会有一些突然袭来的任务，有的小组pre过。 考试，但是老师很好会划考试范围，基本上是从课件里找课后习题的答案，但是课件给的很多定义都非常模糊，很难很难总结，但是考试也编就完了，给分很好。 旅游与服务学院
   百分制/绩点制 签到 85-89/3.5-3.9 事多，老师的课程安排也很不合理，上课没什么收获 平时有很多小组作业，上课还有很无语的小测，事特别多 闭卷考，特别难背，不知道在考什么，给分也不好 旅游与服务学院
 休闲概论 李春晓 通过制 一个学期三次  老师讲课很有趣，而且真的能学到东西 平时任务不多，就一个1000字小论文和ppt 论文形式，很简单 旅游与服务学院
 管理学专业教育 黄晶,周杰 通过制 不点名不签到  不知道这门课开的意义是什么，在大类分流之前各专业来拉人吗。 没有，上课也可以不去。没怎么去过 没有，直接通过了。 旅游与服务学院
 电子商务 李辉 百分制/绩点制 点过一次名 95+ 老师很有趣 没有平时任务 开卷开始 旅游与服务学院
   百分制/绩点制 无 90-94/4.0 老师很幽默，事情少 课程论文 一篇课程论文 旅游与服务学院
