 课程名 授课教师 通过制/百分制 点名/签到 最终得分 我的评价 平时任务 期末考核 开课单位
 新闻传播伦理与法规 马瑞洁 百分制/绩点制 雨课堂签到 90-94/4.0 马瑞洁老师yyds，上课内容充实有趣，考试不难，给分也好,授课内容：温柔知性生动有趣 没什么任务，上课有时候雨课堂答两个小题，最后考试 三四道主观题（包括材料题），根据上课内容复习复习即可，按自己理解写就行，有的没有标准答案，言之有理即可 文学院
 现代中国文学思潮史 李锡龙 百分制/绩点制 不怎么点名签到 90-94/4.0 讲课很充实很幽默，老师人很好事少，给分也很高 还好，不多 百分制，就是上课PPT内容，当然要花时间背但是基本只要背了给分就很好 文学院
 文艺美学基础理论与实践 黄一 百分制/绩点制 不点名 90-94/4.0 很好很温柔的老师 不难 小论文很简单 文学院
 中国女性文学研究 陈千里 百分制/绩点制 不点名无签到 未出分 陈千里老师挺好的,授课内容：老师很温柔知性，讲课很生动 跟另一个老师各一篇文章，很简单，鼓励我们抒发对文学作品的感受（也可以写论文） 闭卷考试，基本是主观题 文学院
 语言学概论 支建刚 百分制/绩点制 点名 85-89/3.5-3.9 围绕课本内容，老师适量补充，轻松幽默，大胆冲！ 注意背诵，理解性记忆，不需要占用太多精力 老师会划重点，熟练背诵书本知识，需要一点现代汉语知识，可以通用 文学院
 现代汉语2-2 郭昭军 百分制/绩点制 不怎么点名 85-89/3.5-3.9 有趣 上课内容较丰富 期末闭卷考，平时有论文 文学院
 中国思想文化史 汪梦川 百分制/绩点制 都不 90-94/4.0 外地人听老师的口音可能有点难听懂，但老师人真的特别好，讲的也很有意思 作业很少，基本没有,而且很好做,只是让收集一点诗什么的都不用写赏析 写一篇2000字好像关于诗歌的感受,很快写完,很好写 文学院
   百分制/绩点制 不点名 75以下/2.5以下 难 平时交一篇论文 考试，难，给分低，上课听也没什么用处因为你不会听懂的，且上课讲的跟最后考的没什么关系，建议顺其自然，该摆摆该水水，大家都差不多 文学院
 古代汉语2-2 杨琳 百分制/绩点制 无 85-89/3.5-3.9 讲课本上的文章和知识，形式是课下自己看文章、提问题，老师上课解答问题。老师非常严谨负责，能收获很多对古汉语不同的见解。 有两篇论文，都是对古文字的考证，给分差异还挺大的，认真写需要耗费很多精力。 闭卷考试。23级考的是解释字词、诗词格律、繁简字差异、给古文标点等。考前需要大量背诵记忆，占用时间较多，难度较高。 文学院
 书法与篆刻 刘淼 百分制/绩点制 签到 95+ 太好了 多 不考 文学院
 服务学习：非遗传承与实践 谢朝 通过制 不点名，但是遇到过一次给助教发消息签到  内容丰富多样，会邀请相关人士丰富课堂，还偶尔会有实践，不强制。回答问题还会有小礼物 就一次期中作业一次期末作业，非常简单的PPT和策划 策划，实际应用等方面，简单，需要的东西在官网都能找到 文学院
 教育心理学 夏全胜 百分制/绩点制 偶尔点名 90-94/4.0 老师备课很用心，幽默风趣，偶尔点人回答问题，课堂氛围轻松 没有平时作业 闭卷考试，有填空、简答、论述，划重点，背了就行 文学院
 新闻学概论 李广欣 百分制/绩点制 扫码签到 90-94/4.0 主要画书，ppt上东西多 不难,书上东西多，期末多背 会画重点，考书上的东西，不难但是要熟练记忆 文学院
 宗教文化与俄苏文学 王志耕 百分制/绩点制 无 95+ 老师讲课很好，很有自己的见解，也让我有很多收获 一篇五千字论文 开卷考试，开放型答题 文学院
 史传文学研究 李雪 百分制/绩点制 点名，只点过一次，会提前告诉 90-94/4.0 上课内容可能会有一些无聊，比较水 一次小作业，很简单 一份小作业 文学院
 现代汉语语法研究 郭昭军 百分制/绩点制 偶尔随机点名 90-94/4.0 老师上课风格很有趣，内容也很多干货，听完感觉自己长脑子了 没有平时任务 开卷考试，内容很简单，考试前老师会带着复习 文学院
   百分制/绩点制 上课偶尔点名字回答问题 95+ 水课！超级大水课！给分很好，平常没有作业，期末开卷 无 难度不大，开卷考 文学院
 中国古代文学作品选2-1 赵建成 百分制/绩点制 不点不签 75以下/2.5以下 老师上课内容很丰富 两次论文 不高不低,他会背刺你 文学院
   百分制/绩点制 不点名不签到 80-84/3.0-3.4 老师上课很佛系，中规中矩，但课前会抽人背书或朗诵；绩点刺客 平时作业两次小论文，分别关于诗经一组作品（2000-4000字）和二十四史一篇传记（1000-3000字） 闭卷考试，默写、赏析、论述、课程得失等题型 文学院
 设计美学 李雨红 百分制/绩点制 偶尔点名，基本是开头几次 85-89/3.5-3.9 老师讲的还行，会让大家轮流pre，自己准备内容的时候收获会大一点 还好，一次pre+课程要看的纪录片+各种要读的期刊杂志 不限时开卷答题结课，会让你根据课堂内容以及自己的课外阅读总结出几个问题的答案+书写课外阅读书目/观看片目读后感，足够用心应该可以高分吧 文学院
 速写4-1 李晓石 百分制/绩点制 不查考勤 90-94/4.0 老师i人，性格温和，课堂氛围超级轻松，可以随便聊天 一天一张速写作业 按照课下所有速写作业水平打分 文学院
