 课程名 授课教师 通过制/百分制 点名/签到 最终得分 我的评价 平时任务 期末考核 开课单位
 有机化学实验2-1 孙怀林,李鑫 百分制/绩点制 不点名，但第一节课分好实验台后哪个实验台的同学没来一目了然 未出分 常有实验简化装置，实验要求也不龟毛，每次有新的实验装置出现老师总是先用一个同学的实验台演示，不让同学们无从下手_授课内容：老师上课不啰嗦，每次咱班都在别班下课前好久就下课，老师常会有实验简化或改进，让实验不是那么麻烦，老师对实验的要求也不非常龟毛，只要求他强调的最基本的由上而下、由左到右 常有实验简化装置，实验要求也不龟毛 实验知识考试/某次实验考核作为期末成绩的一部分，当时是一次实验的结果作为评判标准，我当时那个实验做的不太好，询问老师后老师说其他实验认真完成成绩也不会太差 化学学院
  陈文彬,李建峰 百分制/绩点制 实验课到场 85-89/3.5-3.9 两位老师认真负责，很温柔，给分也不错 任务轻松，正常实验所需内容 平时成绩（平时实验结果），一张关于平常实验和一些实验基础的简单卷子（半个小时就能完成，100分） 化学学院
 无机化学 顾文,田金磊 百分制/绩点制 签到 80-84/3.0-3.4 老师讲的不错，有一个好助教（但是现在已经毕业了），助教会抽时间讲题，讲题讲得很好 作业发布在雨课堂上，每章书2/3个习题 闭卷考试，难度看情况 化学学院
 化学专业英语 王庆伦 百分制/绩点制 签到 90-94/4.0 老师上课很认真，会提问 有一个小组展示 考的没有很难，给分高 化学学院
 有机化学2-1 唐良富 百分制/绩点制 不签到 80-84/3.0-3.4 有一点口音（重庆），不影响上课，上课讲得不错 课堂有小测（不是每次课都有），每章有一次作业（书后部分习题） 期末考试，考题和平时课上讲的和小测题很相似 化学学院
  庞美丽 百分制/绩点制 小测作业点名签到 95+ 认真学习分数不会辜负自己的努力_授课内容：讲课节奏好，学到很多东西，对自己有很大提升 小测作业 还不错,有机化学上半册书 化学学院
   百分制/绩点制 每次上完课的小测作为签到 未出分 每周有机课+小测是4个小时。上有机像是去打仗😂。但庞美丽老师真的真的很好！！_授课内容：美羊羊讲课语速是1.5倍速版本，老师私下也很亲民，讲的非常非常好，逻辑清晰，选到就是赚到！！ 每一章学完都有作业，每一周上课前随机点名上黑板写机理，每一次上完课都会有小测 闭卷考试 化学学院
 有机化学2-2  百分制/绩点制 交作业，周测 90-94/4.0 好，幽默,贴切 难 闭卷 化学学院
   百分制/绩点制 不点名不签到 75以下/2.5以下 老师讲的很快，没点基础跟不上，建议选庞老师的课一定多预习复习 布置书上的题，难度不大但是多，每周一次，占用精力很大 会有一个展讲。最后应试结课，必须好好复习才能过 化学学院
 定量化学分析 刘安安 百分制/绩点制 很少点名，基本到点上课，雨课堂签到 90-94/4.0 安安老师讲解的比较细致，上课也容易听懂，认真跟上思路的话学起来其实挺轻松的 平时上课会有不计入平时分的临堂小测，课下布置的作业都是书上的题目，不多但稍难 线下纸质版考试，题目稍难，不过考前老师会勾画重点 化学学院
  夏炎 百分制/绩点制 不点名 85-89/3.5-3.9 老师超级好！夏老师好风趣幽默，而且很亲和，讲的超级好 平时任务不多也可以不做 论文结课，还行 化学学院
 能源化学专业英语 张新星 百分制/绩点制 点名 80-84/3.0-3.4 老师很有趣，幽默风趣，上课会扩展很多内容，能学到很多专业英语知识 平时无作业和任务，期末背单词 闭卷考试，难度不定 化学学院
 物理化学2-1 耿文超 百分制/绩点制 / 85-89/3.5-3.9 新老师，但讲课很负责且有想法，不拘泥于传统的南开物化教学模式，ppt每章都会逐页修改，期末也会捞人 留书后习题为作业+课程论文 闭卷考试，比较难 化学学院
  李悦 百分制/绩点制 无 80-84/3.0-3.4 一切中规中矩 留书后习题为作业+论文/论文展讲 闭卷笔试，难度不低 化学学院
  许秀芳 百分制/绩点制 点名，节节都点名 90-94/4.0 许老师人非常好，她很努力地在讲这门课了，平时分不要担心，规规矩矩来就好 平时作业交了就给满，期末可以统一补交，还有一个展讲和论文 闭卷考 化学学院
 化学概论 邱晓航,程鹏 百分制/绩点制 雨课堂 75-79/2.5-2.9 老师人超级好 一点点作业 我们当时开卷 化学学院
 无机化学实验2-1 顾文 百分制/绩点制 实验课老师直接看实验台处有没有人 90-94/4.0 老师非常风趣幽默洒脱，几乎有问必答，还会嘱咐你不要着急 预习报告和实验报告按老师给出的模版格式写就没有太大问题 当时由于疫情，是线上笔试考试，把每次做的实验内容和知识点熟悉一下就行，并且期末笔试成绩占比较小，主要还是平时每次实验的成绩 化学学院
  徐大振 百分制/绩点制 现场签到 90-94/4.0 内容非常丰富，老师的专业素养也很高，但是老师非常看重做实验的速度，会依照实验完成速度计算平时分 实验不是很难，做之前会有讲解 自主预习并完成一个实验，我们做的是用硝酸钠和氯化钾制取硝酸钾，非常简单 化学学院
   百分制/绩点制 每次点名 85-89/3.5-3.9 会手把手教授实验操作，能学到很多有用的东西，老师严谨 预习报告和实验报告需要完成，实验时要记录实验现象，要能够自己独立完成 平时报告和实验产率作为平时分，期末有理论考试，都是基础 化学学院
   百分制/绩点制 点名 80-84/3.0-3.4 老师比较严肃认真，需要好好听讲，注意产率 平时写写实验报告 平时实验报告，期末线上考试 化学学院
  李立存 百分制/绩点制 有时点名 90-94/4.0 老师对实验报告比较严格，实验做得太慢也可能会被批评 实验报告 笔试 化学学院
  王一菁 百分制/绩点制 相当于点名 80-84/3.0-3.4 老师人很好，做实验遇到什么问题大胆问老师 预习，实验报告 没有 化学学院
 化学概论 邱晓航,朱_宝林 百分制/绩点制 不点名不签到 80-84/3.0-3.4 邱老师会尽力讲透书上的所有知识（因为化概书太厚了）并且拿往年题来讲解，会照顾掌握不好的同学 有课后作业（书上题），有一个期末展讲化概相关的知识，需要找到合适的队友 期末考试60%+期中考试10%+平时30% 化学学院
  顾文 百分制/绩点制 雨课堂 90-94/4.0 很好的老师,事情少,但是作业题量大 几乎包含考试题型,较多 有点难,开卷考 化学学院
   百分制/绩点制 签到 75以下/2.5以下 讲的很一般，但是助教人不错，给分超低 作业很多，非常占用时间 闭卷考试，难度很大 化学学院
   百分制/绩点制 点名 75-79/2.5-2.9 老师讲的很细 任务不多 考试 化学学院
  张振杰 百分制/绩点制 作业签到 75以下/2.5以下 老师人很好，看着温文尔雅的亚子，助教人也很好，会准备很多练习题和卷子 一张a4作为课后作业 考两本书，挺难的 化学学院
   百分制/绩点制 助教给二维码定位扫码 80-84/3.0-3.4 挺水的，念PPT，后半本书基本就是pre 作业还OK 统一考试，开卷，感觉蛮难的 化学学院
  马建功 百分制/绩点制 雨课堂签到,随机点名 75以下/2.5以下 老师和蔼，但念ppt，该不会的还是不会，考试得花很久自学 雨课堂上几道题，少 所有班级统一开卷考试，不简单 化学学院
   百分制/绩点制 签到 75-79/2.5-2.9 老师教的还不错，但是很逆天的一点是，最后给一个月时间自学完一整本无机化学下册。建议提前开始自学 没作业，但是自己下去最好做点题，这门课期中考试有百分之六七十的同学可都是不及格的 开卷考试，但哪怕开卷依然非常难，建议上册的公式都记在脑子里，能斯特方程，速率公式什么的，元素部分没办法翻书吧。 化学学院
