 课程名 授课教师 通过制/百分制 点名/签到 最终得分 我的评价 平时任务 期末考核 开课单位
 人格心理学 管健 百分制/绩点制 不点名 90-94/4.0 老师讲的非常有趣 有一个期中展示 闭卷考试 社会学院
 社会工作理论 张恒茜 百分制/绩点制 不太考勤，也不太抓，但社工人少，老师基本都记得名字的 90-94/4.0 除了这个课以外，上所有社工的课都要有老师喜欢上课互动的准备，甚至社工理论第一节课就是团建活动，用来互相认识的 课上会有互动，最后几节课是小组读书会（分组介绍指定读物） 论文结课（运用课上知识分析感兴趣的议题） 社会学院
 民族志类型与写作 冯琳 百分制/绩点制 不签到，但老师知道谁没有来上课 90-94/4.0 老师人很好，上课风格也很不错，最后给分也还行 平时任务较重，要读书分享还要辩论 期末小组作业，形式不限于论文，还可以有很多创新 社会学院
