 课程名 授课教师 通过制/百分制 点名/签到 最终得分 我的评价 平时任务 期末考核 开课单位
 财务管理 郝臣 百分制/绩点制 基本不点 90-94/4.0 神中神，可水可学，给分稳定 有几次小组作业，不难 最后一节课开卷考（PPT打一下，然后等着被捞就行） 经济学院
 管理学 焦媛媛 百分制/绩点制 有,但是隔几次课才会有一次点名,老师说她也不想点名,是学校硬性要求. 90-94/4.0 幽默风趣,通俗易懂,平时讲课喜欢观察同学的行为,判断性格,还会问星座什么的,特别有意思,期末给分也特别好,90+. 偶尔会布置简单的小任务,很简单的,抓的也不严,偏向于发动创新思维. 闭卷考试,会画重点,期末复习无难度,给分特别善良.会有填空题,名词解释,简答题,论述题等. 经济学院
 线性代数 邢金刚 百分制/绩点制 不点名;老师说没必要,而且他重来不点名; 90-94/4.0 非常好,会特别仔细的讲每个知识点,还会问同学们听没听懂,他要是感觉我们没懂还会反复再讲一遍,讲课的内容通俗易懂,幽默风趣;能够使人体验线性代数的快乐. 会布置作业,不难,对于数学类型的课还是得好好写写作业,有助于巩固知识,不然期末啥也不会. 闭卷考试,9道大题,没有选填,期末会给往届真题,出题难度经常放水,给分90+ 经济学院
 《资本论》选读2-1 梁俊尚 百分制/绩点制 有时会抽查点名 85-89/3.5-3.9 老师上课有些枯燥 平时会布置四次作业，主要是论文、调查报告等形式，每次作业总分占期末总分的百分之十 开卷考，试卷一般就是几道大题 经济学院
 当代西方经济学流派 冯素杰 百分制/绩点制 点名，基本上最少两周点一次 90-94/4.0 上课没有什么难度 没有平时作业 论文结课，基本不占时间，老师很好 经济学院
 国际贸易实务 侯欣裕 百分制/绩点制 抽查点名 90-94/4.0 课上听不懂，期末全靠背，老师给分还挺好的，不用太卷，上课答题随便编 3次作业，有难度，建议多查查答案 闭卷，全靠背 经济学院
 应用计量经济学 邵敏 百分制/绩点制 不点名 未出分 讲解细致，内容简单，足够水，感觉不易区分开，因为最后大家会的都差不多 无 开卷，打印课件，平时上课跟着做就够了 经济学院
 经济学原理（宏观） 杨光 百分制/绩点制 不点名 未出分 好，非常推荐！_授课内容：上课不点名，平时分直接给满，会捞人，上课可能会随机叫人上去写题，坐在后面中间的位置不会被叫到 没有平时作业，平时分给满，轻松轻松_ 平时分和期末_，期末会说题型 经济学院
  周云波 百分制/绩点制 只有第一次课点名，平时上课会抽人提问 90-94/4.0 讲课挺随性的，ppt做的干货很少，期末比别的老师早结课一周，最后还带大家去产权交易所研学了 作业体感来说比其他班少，一学期好像只布置了四次，每次难度和量都很小 闭卷考试，考试之前会划重点，还挺准的，课程难度本身不高，给分也不错 经济学院
  李宝伟 百分制/绩点制 不签到 90-94/4.0 老师讲课内容丰富，涉及到中宏的知识，有助于提前了解 平时需要完成课后作业提交 闭卷考试，不难 经济学院
 世界经济概论 文东伟 百分制/绩点制 大规模点名比较少，一学期大概三次？ 85-89/3.5-3.9 上课巨巨巨巨巨爱叫人回答问题150人的大课我一学期被点了三次，期末划重点是照着卷子画的非常非常准但是会压分 平时作业基本上都是查资料做表格，认真做一次俩小时不成问题，好在一个学期也就布置了三个吧 闭卷考试，划重点非常准，，压分 经济学院
 中级微观经济学 黄玖立 百分制/绩点制 偶尔点人回答问题，关键时期（比如国庆前一天）签到，平时不咋考勤 85-89/3.5-3.9 就这个julian爽，讲课讲得好还有种冷冷的幽默 一堂课一次作业，占用精力比高数多点，我一般摸一个下午才做完但我确实摸 考试，难度应该比较高吧，计算量较大 经济学院
 微分方程 魏雅薇 百分制/绩点制 签到 85-89/3.5-3.9 每节课一个嘉宾，讲的很杂，用处不大 期中一篇论文，与讲座主题有关 期末一篇实证论文，难度比较高，毕竟刚学计量 经济学院
 数学分析（二） 刘锐 百分制/绩点制 不签到 未出分 任务量不大，讲课还行，有理工男的幽默，但听不懂,不大 null null 经济学院
