 课程名 授课教师 通过制/百分制 点名/签到 最终得分 我的评价 平时任务 期末考核 开课单位
 第二语言习得研究 温宝莹 百分制/绩点制 让班长统计出勤（看班长认不认真了） 未出分 老师很漂亮打扮很精致,讲课速度比较慢,很为学生考虑（天冷穿衣提醒,流感防护提醒.ddl密集期作业提交时间推迟…）学习的话要理论结合案例_看个人兴趣,大一新生觉得没有特别难_会布置教材预习,老师上的慢,所以预习内容也不错 平时有两份作业_实证性论文的案例分析,花费时间不多_会有论文报告（自己报名,参加了可以加分） 出勤分,课堂互动,平时作业,期末笔试（笔试占的比重比较少） 汉语言文化学院
 学年论文 王红厂 百分制/绩点制 点过一次名 95+ 老师讲得很好 大都很简单，有大作业 上机考试 汉语言文化学院
