 课程名 授课教师 通过制/百分制 点名/签到 最终得分 我的评价 平时任务 期末考核 开课单位
 概率论 姚祥坤 百分制/绩点制 点名 85-89/3.5-3.9 老师讲得是很扎实的风格，认真听➕作业认真做就能学好 会布置习题集上的题，难度适中 闭卷考试，平时作业相似题 金融学院
 中级微观经济学 丁树泽 百分制/绩点制 无 75-79/2.5-2.9 全英文授课，英语听力不好听课会有难度 无，但课堂有小测 期末考试 金融学院
  ZHANGHAOFEI 百分制/绩点制 一两次 80-84/3.0-3.4 挺可爱的，海底捞 不多，老师很ok 书面考试 金融学院
   百分制/绩点制 偶尔 75-79/2.5-2.9 给分高，会捞 作业很少，非常简单 较难 金融学院
   百分制/绩点制 点名 85-89/3.5-3.9 老师会捞人 平时有作业 期末考核学校统一 金融学院
   百分制/绩点制 只有一次点名_没有签到教的很好 75以下/2.5以下 教的很好,ppt全英 作业不多 闭卷IUV 金融学院
 创新研究与训练 贺佳 百分制/绩点制 不点名不签到 未出分 老师人超级好,给分高,事不多_授课内容：老师讲的嘎嘎好,都是干货超认真 有一点小作业不难,很少 期末考试50%平时50% 金融学院
 金融工程 周爱民 百分制/绩点制 有时候是点名，有时候会要求面对面建群，大概会签到5次 90-94/4.0 内容比较难，认真听可以学到不少东西，老师平时很忙，只有5次线下课，其他都是线上课程 平时没有任何作业，只需要刷一下智慧树就行了 期末考试在智慧树上考，答案可以查到，一般40分钟以内可以做完 金融学院
 国际金融学 范小云 百分制/绩点制 没点过 95+ 老师讲的挺有意思的,通俗易懂 有3次平时作业 闭卷 金融学院
 专业学习与职业生涯规划 唐琳 百分制/绩点制 飞书扫码，每节课都有 95+ 每周会请不同的嘉宾来讲，有的内容很有用 平时没有任务 期末需要写一个1000字左右的自我职业规划，考核简单 金融学院
 计量经济学I 郭彬 百分制/绩点制 没有签到 90-94/4.0 老师讲得很好，PPT也很完整 平时没有作业 期末有一个大作业+考试，大作业不要求结果，但要体现上课讲的东西。考试难度一般，不用平时刷题，考的和课后题不一样 金融学院
 线性代数 段月姣 百分制/绩点制 点名 90-94/4.0 老师偶尔点名，主要还是需要自己学习和做往年题 平时一单元有作业 期末考试和往年题风格相似 金融学院
   百分制/绩点制 只有一次点名 85-89/3.5-3.9 讲的很好 几次作业 闭卷 金融学院
