 课程名 授课教师 通过制/百分制 点名/签到 最终得分 我的评价 平时任务 期末考核 开课单位
 高等代数与解析几何2-2 韩东啸 百分制/绩点制 不点名不签到 未出分 老师讲课很细致，会留思考时间，很难抢的课 平时要交的作业不多，自主练习比较多，看自觉性 高代期末 统计与数据科学学院
   百分制/绩点制 无 85-89/3.5-3.9 老师很负责，干货很多 少 考试卷 统计与数据科学学院
   百分制/绩点制 无 90-94/4.0 老师十分认真负责，讲题清晰易懂。 有作业，一般是几道题，比较简单 试卷 统计与数据科学学院
 数学分析II 王龙敏 百分制/绩点制 无 未出分 老师人很好_授课内容：讲的还行 无 数学考试 统计与数据科学学院
 概率论I 王荔丹 百分制/绩点制 不管 75以下/2.5以下 全英授课，有一点难受，考试题目老师会征求大家意见，出英文或中文。老师人很好，把大家都捞上来了 作业一周10题左右 闭卷，部分大题，部分大题套小问 统计与数据科学学院
   百分制/绩点制 不签到，不点名 95+ 虽然这门课是必修，大家没有可能不选……但是lidan人真的很好，讲的难度也不大，很推荐 每周有作业，但作业难度不算大；一个月一次月考，但是月考也真的不难 占比60%，我们那年稍微难度有点大了，但如果平时作业自己独立完成，认真做的话，也还可以 统计与数据科学学院
 高等代数与解析几何2-1 李赞,雷辉,耿薇 百分制/绩点制 大课签到，习题课无 95+ 耿老师讲课比较亲切好懂，但内容拓展较少，最后会捞人，给分很好；李老师比较负责，习题课讲的不错 作业，量较少，难度适中 闭卷考试，耿老师会暗示考点，都掌握了就没有问题，花时间较多，难度中等 统计与数据科学学院
   百分制/绩点制 不查出勤 85-89/3.5-3.9 耿薇老师讲的很细，方法也很好，黑板板书认真，李赞老师的习题课也很易懂，还会拓展题目 习题课作业比较轻松，月考90以上比较难，但75左右较容易 期末考试，月考，习题课作业 统计与数据科学学院
   百分制/绩点制 雨课堂签到 75-79/2.5-2.9 老师讲的很好,认真听讲收获很多,人也很不错_老师讲的已经很好了还有思考点 主要习题课布置作业 三次月考各占10加期末占60平时分占10 统计与数据科学学院
   百分制/绩点制 雨课堂扫码签到，但考核不严 80-84/3.0-3.4 耿老师目前应该是大类教高代正课最好的老师了。讲解比较琐碎，建议搭配谢启鸿网课和教材，日常建议做好完整的笔记及及时整理！_李赞老师的思路有时会比较难想到，可能需要认真思考一会。 作业每周习题课交一次，不是太难，答案也比较好搜，占用精力较少。 作业+几次考试的总评（具体比例不太记得了），不过难题大家都不太做得出来，掌握好不该丢的分，对排名影响不会太大。 统计与数据科学学院
   百分制/绩点制 无 90-94/4.0 专业课,讲得好，老师很负责 作业肯定是有的 月考+期末考 统计与数据科学学院
 回归分析 刘民千 百分制/绩点制 不点名不签到 90-94/4.0 很好，不论是老师还是内容 适中 考试 统计与数据科学学院
 数学分析III 王龙敏,邓路 百分制/绩点制 没有 90-94/4.0 数分男神没得说 有作业，月考，但和老师没关系吧 考试 统计与数据科学学院
 统计学导论 王兆军 通过制 无  讲得很好 无 写一篇与课上的内容相关的论文，要求不高 统计与数据科学学院
 数学分析I 李忠华,逯文琪,周晓英 百分制/绩点制 无 80-84/3.0-3.4 基本上念答案，速度较快，互动较少 中等难度中等题量，每周都有 期末考试 统计与数据科学学院
   百分制/绩点制 基本无，每节课上课前回顾5~6个知识点，雨课堂随机抽取同学对应纸面回答，作为本课考勤 85-89/3.5-3.9 忠华哥人超级好，讲得也很好，上课氛围宽松 基础课，要花很大一部分时间做作业 考试6~7道大题，期末难度低于月考，正常三次月考一次期末，平时20+月考3*10+期末50 统计与数据科学学院
